,time,open,high,low,close,volume
0,2017-01-03,2.31,2.38,2.28,2.3,49690
1,2017-01-04,2.3,2.3,2.21,2.21,57190
2,2017-01-05,2.21,2.26,2.2,2.25,61050
3,2017-01-06,2.25,2.34,2.24,2.24,85850
4,2017-01-09,2.29,2.3,2.26,2.27,107450
5,2017-01-10,2.29,2.36,2.28,2.33,111630
6,2017-01-11,2.31,2.35,2.31,2.34,204630
7,2017-01-12,2.35,2.35,2.31,2.34,113890
8,2017-01-13,2.32,2.35,2.3,2.34,87510
9,2017-01-16,2.35,2.35,2.27,2.32,68340
10,2017-01-17,2.31,2.32,2.29,2.31,49490
11,2017-01-18,2.31,2.32,2.31,2.31,134050
12,2017-01-19,2.33,2.38,2.31,2.38,220420
13,2017-01-20,2.38,2.41,2.38,2.41,118770
14,2017-01-23,2.43,2.47,2.41,2.47,86350
15,2017-01-24,2.47,2.5,2.46,2.48,224030
16,2017-01-25,2.49,2.64,2.49,2.64,605650
17,2017-02-02,2.7,2.83,2.65,2.83,379370
18,2017-02-03,2.88,3.02,2.88,2.93,523060
19,2017-02-06,2.93,2.99,2.92,2.95,468610
20,2017-02-07,2.93,2.95,2.88,2.89,357360
21,2017-02-08,2.84,2.93,2.84,2.9,164550
22,2017-02-09,2.93,3.1,2.74,3.1,757090
23,2017-02-10,3.19,3.28,3.1,3.25,702680
24,2017-02-13,3.29,3.47,3.25,3.47,732220
25,2017-02-14,3.48,3.7,3.38,3.47,1318960
26,2017-02-15,3.48,3.65,3.38,3.52,1018540
27,2017-02-16,3.57,3.57,3.28,3.28,1031130
28,2017-02-17,3.22,3.34,3.06,3.11,1063660
29,2017-02-20,3.02,3.15,2.91,3.09,532610
30,2017-02-21,3.11,3.29,3.11,3.2,479330
31,2017-02-22,3.25,3.25,2.99,3.02,318540
32,2017-02-23,2.94,3.08,2.88,2.88,422990
33,2017-02-24,2.79,2.89,2.69,2.7,667020
34,2017-02-27,2.69,2.88,2.69,2.88,312110
35,2017-02-28,3.05,3.08,3.04,3.08,586290
36,2017-03-01,3.08,3.08,2.87,2.93,296310
37,2017-03-02,2.97,3.02,2.88,2.93,202490
38,2017-03-03,2.97,2.97,2.84,2.84,209530
39,2017-03-06,2.86,3.03,2.85,2.96,377920
40,2017-03-07,2.96,3.02,2.93,2.96,183560
41,2017-03-08,2.99,2.99,2.93,2.94,233410
42,2017-03-09,2.94,2.94,2.88,2.88,129410
43,2017-03-10,2.9,3.05,2.9,2.94,308400
44,2017-03-13,2.9,2.92,2.88,2.91,117050
45,2017-03-14,3.0,3.0,2.89,2.92,58910
46,2017-03-15,2.92,2.93,2.84,2.84,235400
47,2017-03-16,2.92,3.02,2.84,3.02,464130
48,2017-03-17,3.11,3.18,3.04,3.08,559860
49,2017-03-20,3.1,3.25,3.09,3.2,975210
50,2017-03-21,3.29,3.29,3.23,3.25,540690
51,2017-03-22,3.23,3.47,3.23,3.47,1797150
52,2017-03-23,3.66,3.7,3.52,3.7,1795430
53,2017-03-24,3.93,3.96,3.75,3.96,2756960
54,2017-03-27,3.8,3.84,3.69,3.69,2255860
55,2017-03-28,3.56,3.79,3.56,3.59,927440
56,2017-03-29,3.51,3.66,3.35,3.35,1413660
57,2017-03-30,3.38,3.58,3.38,3.56,909170
58,2017-03-31,3.62,3.65,3.38,3.38,594150
59,2017-04-03,3.38,3.47,3.28,3.28,575440
60,2017-04-04,3.25,3.43,3.25,3.42,531330
61,2017-04-05,3.42,3.49,3.38,3.4,286250
62,2017-04-07,3.4,3.4,3.32,3.33,317350
63,2017-04-10,3.1,3.29,3.1,3.12,2128150
64,2017-04-11,3.16,3.28,3.16,3.25,1111310
65,2017-04-12,3.2,3.25,3.14,3.19,806930
66,2017-04-13,3.19,3.19,3.04,3.13,492140
67,2017-04-14,3.11,3.18,3.11,3.11,226880
68,2017-04-17,3.18,3.2,3.13,3.14,525700
69,2017-04-18,3.12,3.16,3.11,3.12,288060
70,2017-04-19,3.16,3.33,3.16,3.33,685580
71,2017-04-20,3.52,3.54,3.2,3.25,987000
72,2017-04-21,3.25,3.38,3.2,3.2,255930
73,2017-04-24,3.14,3.2,3.11,3.18,311150
74,2017-04-25,3.13,3.2,3.11,3.16,346000
75,2017-04-26,3.11,3.2,3.11,3.12,117650
76,2017-04-27,3.16,3.19,3.11,3.17,225390
77,2017-04-28,3.12,3.16,3.12,3.16,184200
78,2017-05-03,3.16,3.24,3.12,3.16,325340
79,2017-05-04,3.14,3.34,3.14,3.28,664880
80,2017-05-05,3.42,3.42,3.22,3.23,198370
81,2017-05-08,3.21,3.26,3.11,3.18,287750
82,2017-05-09,3.14,3.25,3.08,3.25,888940
83,2017-05-10,3.29,3.34,3.25,3.26,604740
84,2017-05-11,3.29,3.29,3.21,3.22,148950
85,2017-05-12,3.22,3.22,3.16,3.16,307690
86,2017-05-15,3.14,3.25,3.14,3.22,604470
87,2017-05-16,3.23,3.35,3.23,3.27,581520
88,2017-05-17,3.21,3.31,3.21,3.24,296650
89,2017-05-18,3.18,3.24,3.16,3.16,402300
90,2017-05-19,3.18,3.3,3.12,3.23,483110
91,2017-05-22,3.23,3.34,3.23,3.27,1114590
92,2017-05-23,3.27,3.28,3.19,3.2,217460
93,2017-05-24,3.16,3.21,3.12,3.19,411820
94,2017-05-25,3.2,3.22,3.16,3.19,424340
95,2017-05-26,3.2,3.2,3.14,3.19,207820
96,2017-05-29,3.19,3.24,3.16,3.16,219730
97,2017-05-30,3.16,3.16,3.11,3.13,567020
98,2017-05-31,3.13,3.15,3.11,3.11,189560
99,2017-06-01,3.11,3.16,3.11,3.15,27530
100,2017-06-02,3.12,3.17,3.11,3.15,169980
101,2017-06-05,3.15,3.15,3.09,3.1,373850
102,2017-06-06,3.1,3.12,3.06,3.08,300700
103,2017-06-07,3.11,3.11,3.06,3.06,288700
104,2017-06-08,3.06,3.19,3.02,3.16,460990
105,2017-06-09,3.16,3.16,3.07,3.09,101910
106,2017-06-12,3.11,3.11,3.06,3.06,116970
107,2017-06-13,3.09,3.09,3.02,3.07,136610
108,2017-06-14,3.09,3.28,3.07,3.28,1131840
109,2017-06-15,3.48,3.51,3.34,3.34,2629460
110,2017-06-16,3.34,3.46,3.34,3.37,486430
111,2017-06-19,3.37,3.48,3.29,3.33,788140
112,2017-06-20,3.33,3.38,3.27,3.29,782610
113,2017-06-21,3.28,3.34,3.24,3.25,422050
114,2017-06-22,3.25,3.47,3.2,3.47,1902550
115,2017-06-23,3.57,3.62,3.49,3.56,1300420
116,2017-06-26,3.56,3.66,3.55,3.57,987810
117,2017-06-27,3.57,3.57,3.42,3.44,832750
118,2017-06-28,3.44,3.48,3.36,3.48,437370
119,2017-06-29,3.61,3.63,3.57,3.58,1196020
120,2017-06-30,3.58,3.59,3.49,3.53,721120
121,2017-07-03,3.57,3.57,3.46,3.47,602570
122,2017-07-04,3.48,3.6,3.46,3.57,1213270
123,2017-07-05,3.6,3.81,3.59,3.81,3153400
124,2017-07-06,4.08,4.08,4.05,4.08,3271350
125,2017-07-07,4.12,4.12,3.81,3.81,1790370
126,2017-07-10,3.74,3.8,3.59,3.7,2028990
127,2017-07-11,3.66,3.77,3.57,3.7,1062520
128,2017-07-12,3.8,3.86,3.7,3.8,868870
129,2017-07-13,3.83,3.9,3.76,3.9,843890
130,2017-07-14,3.92,3.95,3.81,3.86,577000
131,2017-07-17,3.85,3.93,3.72,3.76,551020
132,2017-07-18,3.68,3.77,3.66,3.75,906310
133,2017-07-19,4.01,4.01,4.01,4.01,1275060
134,2017-07-20,4.28,4.28,4.12,4.28,3599870
135,2017-07-21,4.28,4.28,4.07,4.07,1174150
136,2017-07-24,4.07,4.07,3.95,3.99,779390
137,2017-07-25,3.97,4.13,3.94,4.05,967350
138,2017-07-26,4.12,4.12,4.0,4.05,922400
139,2017-07-27,4.09,4.12,4.02,4.07,832000
140,2017-07-28,4.12,4.32,4.07,4.21,1793480
141,2017-07-31,4.28,4.46,4.25,4.35,1433490
142,2017-08-01,4.56,4.66,4.54,4.66,3063400
143,2017-08-02,4.66,4.92,4.49,4.88,2639690
144,2017-08-03,4.89,5.22,4.89,4.99,3767640
145,2017-08-04,4.99,5.23,4.76,5.21,1909710
146,2017-08-07,5.49,5.57,5.35,5.57,2491850
147,2017-08-08,5.95,5.95,5.81,5.95,2055150
148,2017-08-09,6.37,6.37,5.72,6.12,5422770
149,2017-08-10,5.71,5.95,5.7,5.7,1939260
150,2017-08-11,5.35,5.49,5.31,5.31,1510070
151,2017-08-14,4.96,5.49,4.95,5.49,3172990
152,2017-08-15,5.67,5.87,5.59,5.76,1812600
153,2017-08-16,5.76,5.76,5.44,5.44,1202420
154,2017-08-17,5.31,5.39,5.07,5.21,2195960
155,2017-08-18,5.03,5.31,4.96,5.26,888660
156,2017-08-21,5.31,5.43,5.17,5.18,1274050
157,2017-08-22,5.04,5.07,4.91,4.96,1643410
158,2017-08-23,4.94,5.19,4.94,4.99,723510
159,2017-08-24,4.99,5.17,4.99,5.09,770670
160,2017-08-25,5.09,5.32,4.99,5.27,1374010
161,2017-08-28,5.35,5.35,5.15,5.21,592720
162,2017-08-29,5.21,5.21,5.09,5.09,672400
163,2017-08-30,5.12,5.16,5.03,5.03,545380
164,2017-08-31,4.99,5.12,4.99,5.1,676700
165,2017-09-01,5.2,5.21,5.11,5.14,326430
166,2017-09-05,5.15,5.33,5.13,5.25,1119560
167,2017-09-06,5.25,5.25,5.14,5.17,424850
168,2017-09-07,5.13,5.23,5.12,5.17,600040
169,2017-09-08,5.14,5.17,5.06,5.09,637960
170,2017-09-11,5.12,5.12,5.0,5.05,766480
171,2017-09-12,5.03,5.13,5.01,5.13,479950
172,2017-09-13,5.12,5.16,5.1,5.13,346310
173,2017-09-14,5.13,5.4,5.12,5.4,2026560
174,2017-09-15,5.4,5.42,5.26,5.38,653440
175,2017-09-18,5.42,5.67,5.42,5.63,1194540
176,2017-09-19,5.58,5.61,5.49,5.49,1141550
177,2017-09-20,5.57,5.63,5.52,5.55,517830
178,2017-09-21,5.6,5.6,5.49,5.52,463490
179,2017-09-22,5.52,5.55,5.51,5.52,823960
180,2017-09-25,5.52,5.52,5.3,5.31,1181020
181,2017-09-26,5.31,5.45,5.28,5.44,738400
182,2017-09-27,5.46,5.46,5.35,5.4,212260
183,2017-09-28,5.4,5.42,5.18,5.23,359530
184,2017-09-29,5.23,5.31,5.16,5.24,451240
185,2017-10-02,5.2,5.33,5.19,5.2,252340
186,2017-10-03,5.19,5.19,4.94,5.07,504840
187,2017-10-04,5.08,5.21,5.08,5.2,214140
188,2017-10-05,5.3,5.3,5.22,5.24,381320
189,2017-10-06,5.24,5.26,5.2,5.2,282970
190,2017-10-09,5.28,5.28,5.12,5.21,406940
191,2017-10-10,5.21,5.21,5.13,5.15,186330
192,2017-10-11,5.17,5.36,5.14,5.19,533410
193,2017-10-12,5.21,5.26,5.18,5.19,481350
194,2017-10-13,5.19,5.21,5.18,5.19,306270
195,2017-10-16,5.29,5.29,5.11,5.13,364220
196,2017-10-17,5.11,5.17,5.11,5.12,350730
197,2017-10-18,5.2,5.2,5.03,5.03,504360
198,2017-10-19,5.03,5.16,5.03,5.09,318310
199,2017-10-20,5.08,5.11,4.97,4.98,696180
200,2017-10-23,4.96,4.98,4.67,4.69,791920
201,2017-10-24,4.69,4.7,4.65,4.67,452150
202,2017-10-25,4.67,4.88,4.67,4.7,176980
203,2017-10-26,4.67,4.78,4.38,4.55,333850
204,2017-10-27,4.53,4.55,4.24,4.39,682850
205,2017-10-30,4.3,4.39,4.26,4.27,436700
206,2017-10-31,4.21,4.3,4.16,4.19,410980
207,2017-11-01,4.21,4.33,4.21,4.22,313000
208,2017-11-02,4.3,4.34,4.19,4.2,154920
209,2017-11-03,4.21,4.25,4.12,4.21,407670
210,2017-11-06,4.21,4.25,4.21,4.23,234200
211,2017-11-07,4.25,4.25,4.18,4.21,207430
212,2017-11-08,4.15,4.21,4.13,4.16,179120
213,2017-11-09,4.12,4.2,4.11,4.13,159480
214,2017-11-10,4.04,4.19,4.03,4.14,195340
