,time,open,high,low,close,volume,ticker
0,2017-01-03,7.67,8.1,7.67,8.1,4954000,BID
1,2017-01-04,8.18,8.39,8.18,8.26,4674470,BID
2,2017-01-05,8.21,8.39,8.13,8.23,1988580,BID
3,2017-01-06,8.13,8.58,8.13,8.42,6338280,BID
4,2017-01-09,8.45,8.77,8.45,8.66,6160700,BID
5,2017-01-10,8.61,8.66,8.53,8.61,2471780,BID
6,2017-01-11,8.66,8.88,8.58,8.88,7292910,BID
7,2017-01-12,8.88,8.88,8.77,8.82,3541500,BID
8,2017-01-13,8.82,8.85,8.64,8.69,3414240,BID
9,2017-01-16,8.69,8.72,8.45,8.45,2739610,BID
10,2017-01-17,8.61,9.01,8.53,8.98,6538420,BID
11,2017-01-18,8.98,9.25,8.8,8.8,5523490,BID
12,2017-01-19,8.74,8.9,8.72,8.8,1997400,BID
13,2017-01-20,8.82,9.04,8.77,8.9,3226890,BID
14,2017-01-23,8.93,9.09,8.88,9.01,3412290,BID
15,2017-01-24,9.01,9.17,9.01,9.09,3130040,BID
16,2017-01-25,9.09,9.09,8.82,9.04,2424360,BID
17,2017-02-02,9.04,9.2,8.9,9.2,3033030,BID
18,2017-02-03,9.2,9.38,9.12,9.2,4057580,BID
19,2017-02-06,9.2,9.3,9.09,9.2,2896390,BID
20,2017-02-07,9.12,9.28,9.06,9.14,3550940,BID
21,2017-02-08,9.14,9.2,9.01,9.09,3716420,BID
22,2017-02-09,9.09,9.17,9.01,9.01,3894230,BID
23,2017-02-10,9.01,9.17,8.98,9.14,3882460,BID
24,2017-02-13,9.14,9.17,9.01,9.01,2356920,BID
25,2017-02-14,9.04,9.12,9.01,9.09,3452520,BID
26,2017-02-15,9.06,9.3,9.01,9.28,3866520,BID
27,2017-02-16,9.22,9.33,9.09,9.09,4207540,BID
28,2017-02-17,9.04,9.12,8.96,9.04,2315410,BID
29,2017-02-20,8.98,9.01,8.82,8.88,4319650,BID
30,2017-02-21,8.9,9.01,8.9,8.93,3466220,BID
31,2017-02-22,8.96,8.98,8.82,8.88,2027200,BID
32,2017-02-23,8.88,8.93,8.74,8.9,1917960,BID
33,2017-02-24,8.82,8.98,8.82,8.9,2717550,BID
34,2017-02-27,8.82,8.93,8.8,8.93,1299320,BID
35,2017-02-28,8.9,8.93,8.77,8.8,1374710,BID
36,2017-03-01,8.8,8.8,8.61,8.72,2971500,BID
37,2017-03-02,8.77,8.82,8.58,8.58,2357980,BID
38,2017-03-03,8.61,8.77,8.45,8.77,3291400,BID
39,2017-03-06,8.88,8.93,8.77,8.88,2663090,BID
40,2017-03-07,8.88,8.88,8.77,8.82,1229860,BID
41,2017-03-08,8.77,8.96,8.72,8.88,2091720,BID
42,2017-03-09,8.88,9.06,8.85,8.98,4635690,BID
43,2017-03-10,9.04,9.04,8.85,8.85,2210220,BID
44,2017-03-13,8.82,8.85,8.72,8.82,1377930,BID
45,2017-03-14,8.74,8.82,8.72,8.77,2190590,BID
46,2017-03-15,8.72,8.8,8.69,8.8,1177930,BID
47,2017-03-16,8.8,8.85,8.69,8.74,1860750,BID
48,2017-03-17,8.74,8.96,8.72,8.93,4646040,BID
49,2017-03-20,8.93,8.98,8.8,8.96,3017280,BID
50,2017-03-21,8.98,9.3,8.98,9.3,10006770,BID
