,time,open,high,low,close,volume
0,2017-01-03,9.41,9.94,9.41,9.94,1008370
1,2017-01-04,10.12,10.25,9.94,10.12,1006570
2,2017-01-05,10.06,10.18,9.87,10.18,892010
3,2017-01-06,9.94,10.55,9.94,10.28,1151370
4,2017-01-09,10.49,10.68,10.37,10.55,1335810
5,2017-01-10,10.49,10.49,10.37,10.43,693510
6,2017-01-11,10.43,10.92,10.43,10.92,2008310
7,2017-01-12,10.92,10.99,10.74,10.86,739950
8,2017-01-13,10.86,10.86,10.65,10.68,623490
9,2017-01-16,10.93,10.93,10.61,10.61,815390
10,2017-01-17,10.81,11.35,10.77,11.35,3003990
11,2017-01-18,11.35,11.74,11.06,11.13,1624550
12,2017-01-19,11.0,11.35,11.0,11.35,1088370
13,2017-01-20,11.35,11.71,11.32,11.51,2339900
14,2017-01-23,11.51,12.25,11.48,11.77,2995710
15,2017-01-24,11.96,12.06,11.64,11.93,2109910
16,2017-01-25,11.9,12.06,11.64,11.93,2442780
17,2017-02-02,11.96,12.22,11.84,12.03,1314520
18,2017-02-03,12.03,12.16,11.71,11.87,2070490
19,2017-02-06,11.8,11.93,11.67,11.77,1384570
20,2017-02-07,11.71,12.0,11.64,11.67,3218470
21,2017-02-08,11.67,11.74,11.45,11.48,2904010
22,2017-02-09,11.55,11.71,11.55,11.61,1592330
23,2017-02-10,11.61,12.03,11.58,11.93,3566190
24,2017-02-13,11.93,12.0,11.8,11.9,1937220
25,2017-02-14,11.87,12.09,11.87,12.0,2680990
26,2017-02-15,12.0,12.48,12.0,12.41,4804180
27,2017-02-16,12.48,12.64,12.22,12.41,5808080
28,2017-02-17,12.35,12.41,12.12,12.16,2778190
29,2017-02-20,12.06,12.22,11.84,11.9,2694060
30,2017-02-21,12.03,12.12,11.77,11.77,2330830
31,2017-02-22,11.84,11.84,11.48,11.58,3853650
32,2017-02-23,11.64,11.67,11.26,11.51,2473690
33,2017-02-24,11.45,11.84,11.39,11.61,1407370
34,2017-02-27,11.51,11.87,11.48,11.77,1522540
35,2017-02-28,11.77,11.9,11.64,11.74,2586140
36,2017-03-01,11.71,11.74,11.42,11.58,1182670
37,2017-03-02,11.71,11.71,11.51,11.55,816410
38,2017-03-03,11.55,11.8,11.39,11.77,1754040
39,2017-03-06,11.87,12.03,11.77,11.84,1718240
40,2017-03-07,11.74,11.9,11.74,11.77,844680
41,2017-03-08,11.74,12.12,11.61,11.8,1972150
42,2017-03-09,11.8,12.03,11.8,11.84,1281380
43,2017-03-10,11.84,12.0,11.71,11.71,969700
44,2017-03-13,11.71,11.74,11.55,11.55,1059150
45,2017-03-14,11.51,11.64,11.45,11.51,1001120
46,2017-03-15,11.51,11.64,11.42,11.45,1048050
47,2017-03-16,11.51,11.64,11.45,11.48,886330
48,2017-03-17,11.58,11.77,11.58,11.61,696990
49,2017-03-20,11.71,11.84,11.58,11.77,1679060
50,2017-03-21,11.87,12.03,11.84,11.9,2470110
51,2017-03-22,12.03,12.16,11.8,11.8,2382120
52,2017-03-23,11.8,11.93,11.74,11.9,932740
53,2017-03-24,11.96,12.12,11.9,12.03,2471790
54,2017-03-27,12.22,12.38,12.03,12.09,1622690
55,2017-03-28,12.09,12.16,11.84,11.9,992200
56,2017-03-29,11.87,11.9,11.77,11.8,1098970
57,2017-03-30,11.84,11.96,11.8,11.8,992300
58,2017-03-31,11.87,11.87,11.58,11.64,1445170
59,2017-04-03,11.67,11.71,11.51,11.58,1573370
60,2017-04-04,11.64,11.67,11.55,11.55,775940
61,2017-04-05,11.61,11.67,11.51,11.58,798240
62,2017-04-07,11.55,11.64,11.48,11.58,681240
63,2017-04-10,11.58,11.67,11.51,11.51,447310
64,2017-04-11,11.51,11.67,11.42,11.64,1238960
65,2017-04-12,11.58,11.77,11.45,11.45,1144700
66,2017-04-13,11.51,11.61,11.42,11.42,954120
67,2017-04-14,11.32,11.42,11.19,11.26,1645800
68,2017-04-17,11.26,11.45,10.93,10.93,1623170
69,2017-04-18,10.93,11.13,10.9,11.13,1077960
70,2017-04-19,11.1,11.19,11.1,11.13,497490
71,2017-04-20,11.19,11.29,11.03,11.19,453700
72,2017-04-21,11.19,11.19,10.97,11.0,652400
73,2017-04-24,11.0,11.06,10.93,10.93,363620
74,2017-04-25,10.93,11.13,10.9,11.0,286970
75,2017-04-26,10.93,11.13,10.93,11.06,475310
76,2017-04-27,11.06,11.19,11.06,11.13,410720
77,2017-04-28,11.13,11.35,11.06,11.16,692930
78,2017-05-03,11.29,11.32,11.16,11.26,474500
79,2017-05-04,11.26,11.58,11.19,11.45,973500
80,2017-05-05,11.39,11.48,11.35,11.42,421560
81,2017-05-08,11.39,11.51,11.32,11.42,703620
82,2017-05-09,11.35,11.58,11.32,11.55,844220
83,2017-05-10,11.55,11.9,11.51,11.77,1931930
84,2017-05-11,11.84,11.84,11.64,11.64,641050
85,2017-05-12,11.58,11.87,11.58,11.67,703260
86,2017-05-15,11.67,11.71,11.48,11.64,1110290
87,2017-05-16,11.55,11.71,11.39,11.45,815770
88,2017-05-17,11.42,11.61,11.32,11.42,654830
89,2017-05-18,11.45,11.74,11.42,11.55,933490
90,2017-05-19,11.58,11.84,11.58,11.71,1091650
91,2017-05-22,11.9,12.51,11.77,12.35,5170640
92,2017-05-23,12.35,12.51,12.03,12.03,1965190
93,2017-05-24,12.09,12.51,11.9,12.38,2068710
94,2017-05-25,12.38,12.48,12.12,12.16,2220180
95,2017-05-26,12.16,12.35,12.09,12.16,1376370
96,2017-05-29,12.32,12.8,12.32,12.58,5590140
97,2017-05-30,12.58,12.67,12.16,12.16,2589230
98,2017-05-31,12.16,12.32,12.03,12.09,1058830
99,2017-06-01,12.09,12.29,12.0,12.0,1658360
100,2017-06-02,12.03,12.06,11.87,12.03,1569140
101,2017-06-05,12.22,12.29,12.06,12.09,968510
102,2017-06-06,12.12,12.38,12.03,12.35,1433850
103,2017-06-07,12.41,12.9,12.41,12.8,6095440
104,2017-06-08,12.74,12.8,12.48,12.58,1285490
105,2017-06-09,12.58,12.77,12.48,12.48,1210820
106,2017-06-12,12.54,12.67,12.41,12.54,1164340
107,2017-06-13,12.54,12.8,12.45,12.74,1257110
108,2017-06-14,12.86,13.15,12.86,13.03,3179340
109,2017-06-15,12.99,13.44,12.99,13.15,2805430
110,2017-06-16,13.03,13.25,13.03,13.12,982090
111,2017-06-19,13.22,13.38,13.12,13.31,1575050
112,2017-06-20,13.44,13.48,13.28,13.44,1962690
113,2017-06-21,13.44,13.44,12.8,13.03,2667760
114,2017-06-22,13.06,13.15,12.83,12.83,1834770
115,2017-06-23,12.8,12.86,12.64,12.86,1351710
