,time,open,high,low,close,volume,ticker
0,2018-04-19,8.69,8.69,7.9,8.06,7295110,TPB
1,2018-04-20,8.15,8.15,7.92,8.07,1970610,TPB
2,2018-04-23,8.07,8.1,7.53,7.65,918490,TPB
3,2018-04-24,7.53,7.7,7.13,7.65,1084620,TPB
4,2018-04-26,7.63,7.68,7.33,7.38,618040,TPB
5,2018-04-27,7.44,7.5,7.29,7.5,783680,TPB
6,2018-05-02,7.68,7.68,7.38,7.4,468940,TPB
7,2018-05-03,7.4,7.4,7.2,7.4,407660,TPB
8,2018-05-04,7.56,7.56,7.33,7.4,267600,TPB
9,2018-05-07,7.43,7.45,7.25,7.45,269800,TPB
10,2018-05-08,7.7,7.7,7.4,7.48,556210,TPB
11,2018-05-09,7.48,7.48,7.35,7.45,368930,TPB
12,2018-05-10,7.45,7.45,7.2,7.33,184990,TPB
13,2018-05-11,7.33,7.4,7.1,7.4,725410,TPB
14,2018-05-14,7.4,7.4,7.15,7.33,252920,TPB
15,2018-05-15,7.33,7.42,7.15,7.4,468650,TPB
16,2018-05-16,7.4,7.42,7.25,7.33,525340,TPB
17,2018-05-17,7.35,7.4,7.28,7.33,385710,TPB
18,2018-05-18,7.3,7.4,7.24,7.38,465950,TPB
19,2018-05-21,7.39,7.39,7.32,7.34,339500,TPB
20,2018-05-22,7.34,7.39,7.1,7.28,414600,TPB
21,2018-05-23,7.28,7.32,7.18,7.3,506080,TPB
22,2018-05-24,7.29,7.32,7.23,7.28,366890,TPB
23,2018-05-25,7.28,7.3,7.19,7.2,307990,TPB
24,2018-05-28,7.15,7.18,6.73,6.73,197040,TPB
25,2018-05-29,6.83,7.17,6.83,7.15,590410,TPB
26,2018-05-30,7.14,7.19,7.06,7.13,171480,TPB
27,2018-05-31,7.1,7.12,6.96,6.96,287350,TPB
28,2018-06-01,7.1,7.1,6.96,6.96,100550,TPB
29,2018-06-04,6.98,7.4,6.94,7.33,387700,TPB
30,2018-06-05,7.35,7.35,7.18,7.3,459200,TPB
31,2018-06-06,7.25,7.28,7.15,7.18,847910,TPB
32,2018-06-07,7.2,7.2,7.13,7.18,675570,TPB
33,2018-06-08,7.18,7.2,7.08,7.12,1162520,TPB
34,2018-06-11,7.18,7.18,7.01,7.08,38710,TPB
35,2018-06-12,7.08,7.08,6.91,7.01,42180,TPB
36,2018-06-13,7.01,7.03,6.96,7.01,111190,TPB
37,2018-06-14,7.01,7.01,6.89,6.96,22990,TPB
38,2018-06-15,6.99,6.99,6.89,6.91,26260,TPB
39,2018-06-18,6.91,6.91,6.71,6.71,44490,TPB
40,2018-06-19,6.61,6.81,6.25,6.73,648860,TPB
41,2018-06-20,6.73,6.83,6.73,6.81,648730,TPB
42,2018-06-21,6.86,6.93,6.71,6.81,43660,TPB
43,2018-06-22,6.78,6.83,6.78,6.83,115320,TPB
44,2018-06-25,6.84,6.96,6.83,6.91,204990,TPB
45,2018-06-26,6.51,6.93,6.51,6.91,101440,TPB
46,2018-06-27,6.88,6.91,6.71,6.87,42360,TPB
47,2018-06-28,6.87,6.87,6.71,6.71,44370,TPB
48,2018-06-29,6.83,6.83,6.68,6.83,234590,TPB
49,2018-07-02,6.83,6.86,6.69,6.71,73960,TPB
50,2018-07-03,6.71,6.72,6.45,6.48,182230,TPB
51,2018-07-04,6.48,6.51,6.16,6.32,283830,TPB
52,2018-07-05,6.43,6.55,6.29,6.29,779170,TPB
53,2018-07-06,6.29,6.63,6.29,6.63,344120,TPB
54,2018-07-09,6.71,6.71,6.17,6.71,226510,TPB
55,2018-07-10,6.71,6.76,6.68,6.76,278740,TPB
56,2018-07-11,6.76,6.76,6.61,6.66,82430,TPB
57,2018-07-12,6.63,6.66,6.6,6.65,138910,TPB
58,2018-07-13,6.74,6.77,6.68,6.73,303750,TPB
59,2018-07-16,6.71,6.71,6.58,6.71,216440,TPB
60,2018-07-17,6.71,6.72,6.66,6.66,157780,TPB
61,2018-07-18,6.67,6.73,6.62,6.71,247780,TPB
62,2018-07-19,6.69,6.71,6.63,6.68,55150,TPB
63,2018-07-20,6.71,6.71,6.66,6.68,25590,TPB
64,2018-07-23,6.69,6.69,6.63,6.67,65750,TPB
65,2018-07-24,6.71,6.72,6.21,6.63,78680,TPB
66,2018-07-25,6.61,6.67,6.21,6.56,98910,TPB
67,2018-07-26,6.56,6.66,6.55,6.58,73720,TPB
68,2018-07-27,6.58,6.66,6.55,6.61,104230,TPB
69,2018-07-30,6.43,6.61,6.24,6.36,217670,TPB
70,2018-07-31,6.22,6.36,6.22,6.33,131670,TPB
71,2018-08-01,6.3,6.35,6.21,6.21,134560,TPB
72,2018-08-02,6.2,6.21,5.96,6.14,188020,TPB
73,2018-08-03,5.96,6.21,5.96,6.12,200320,TPB
74,2018-08-06,6.12,6.21,5.91,5.94,301330,TPB
75,2018-08-07,5.95,5.99,5.95,5.97,95960,TPB
76,2018-08-08,5.97,6.1,5.97,6.06,225180,TPB
77,2018-08-09,6.09,6.38,6.09,6.31,461210,TPB
78,2018-08-10,6.32,6.38,6.24,6.35,332110,TPB
79,2018-08-13,6.36,6.47,6.3,6.46,336850,TPB
80,2018-08-14,6.53,6.56,6.46,6.46,312680,TPB
81,2018-08-15,6.46,6.52,6.38,6.4,289650,TPB
82,2018-08-16,6.36,6.48,6.36,6.47,235000,TPB
83,2018-08-17,6.53,6.71,6.47,6.52,262420,TPB
84,2018-08-20,6.46,6.53,6.46,6.46,285190,TPB
85,2018-08-21,6.46,6.52,6.46,6.52,312010,TPB
86,2018-08-22,6.52,6.62,6.48,6.55,435620,TPB
87,2018-08-23,6.51,6.63,6.51,6.58,375720,TPB
