time,open,high,low,close,volume,ticker
1/2/2020,6.73,7.13,6.68,6.78,130120,TPB
1/3/2020,6.78,6.94,6.78,6.84,99170,TPB
1/6/2020,6.81,6.81,6.68,6.73,112640,TPB
1/7/2020,6.73,6.76,6.7,6.75,65060,TPB
1/8/2020,6.75,6.75,6.65,6.65,102880,TPB
1/9/2020,6.65,6.78,6.65,6.71,189800,TPB
1/10/2020,6.71,6.86,6.71,6.84,133980,TPB
1/13/2020,6.84,6.89,6.81,6.86,98460,TPB
1/14/2020,6.86,6.91,6.86,6.91,226240,TPB
1/15/2020,6.84,6.92,6.71,6.92,46350,TPB
1/16/2020,6.92,7.03,6.92,6.97,383350,TPB
1/17/2020,7.05,7.05,6.86,6.86,37830,TPB
1/20/2020,6.86,6.92,6.38,6.84,78000,TPB
1/21/2020,6.65,6.87,6.65,6.84,122920,TPB
1/22/2020,6.75,6.86,6.75,6.84,45070,TPB
1/30/2020,6.76,6.81,6.71,6.81,103000,TPB
1/31/2020,6.71,6.81,6.36,6.65,89490,TPB
2/3/2020,6.24,6.6,6.21,6.6,173210,TPB
2/4/2020,6.68,6.7,6.52,6.68,14600,TPB
2/5/2020,6.64,6.71,6.64,6.71,28510,TPB
2/6/2020,6.7,6.84,6.65,6.81,77450,TPB
2/7/2020,6.7,6.79,6.62,6.62,78430,TPB
2/10/2020,6.71,6.71,6.59,6.65,71850,TPB
2/11/2020,6.65,6.7,6.62,6.68,43150,TPB
2/12/2020,6.68,6.75,6.68,6.7,90120,TPB
2/13/2020,6.7,6.75,6.67,6.7,113750,TPB
2/14/2020,6.7,6.97,6.7,6.94,294880,TPB
2/17/2020,6.97,6.99,6.84,6.94,207270,TPB
2/18/2020,6.94,6.95,6.84,6.94,111000,TPB
2/19/2020,6.91,6.91,6.78,6.78,124780,TPB
2/20/2020,6.81,6.83,6.79,6.81,145520,TPB
2/21/2020,6.79,6.83,6.75,6.78,90300,TPB
2/24/2020,6.52,6.68,6.44,6.44,161490,TPB
2/25/2020,6.27,6.67,6.27,6.67,27270,TPB
2/26/2020,6.65,6.65,6.52,6.6,41910,TPB
2/27/2020,6.6,6.91,6.52,6.83,271110,TPB
2/28/2020,6.78,6.83,6.68,6.81,156510,TPB
3/2/2020,6.83,6.84,6.71,6.79,99240,TPB
3/3/2020,6.84,6.92,6.79,6.81,254330,TPB
3/4/2020,6.92,7.05,6.79,6.97,671700,TPB
3/5/2020,7.1,7.1,6.97,7,310620,TPB
3/6/2020,6.97,7,6.89,7,233160,TPB
3/9/2020,6.52,6.68,6.52,6.52,438780,TPB
3/10/2020,6.16,6.68,6.16,6.68,242330,TPB
3/11/2020,6.68,6.68,6.27,6.68,154120,TPB
3/12/2020,6.46,6.49,6.22,6.46,610480,TPB
3/13/2020,6.01,6.49,6.01,6.25,281610,TPB
3/16/2020,6.25,6.51,6.25,6.51,563900,TPB
3/17/2020,6.46,6.68,6.25,6.68,269620,TPB
3/18/2020,6.68,6.78,6.64,6.78,558100,TPB
3/19/2020,6.76,6.78,6.62,6.78,503440,TPB
3/20/2020,6.64,6.97,6.64,6.97,1064230,TPB
3/23/2020,6.97,6.97,6.52,6.78,763990,TPB
3/24/2020,6.84,6.99,6.68,6.99,1415010,TPB
3/25/2020,6.86,6.99,6.86,6.97,249770,TPB
3/26/2020,6.97,6.97,6.52,6.52,117490,TPB
3/27/2020,6.3,6.52,6.29,6.29,98820,TPB
3/30/2020,5.89,6.21,5.86,5.86,166320,TPB
3/31/2020,5.86,5.86,5.46,5.46,122410,TPB
4/1/2020,5.08,5.57,5.08,5.16,286720,TPB
4/3/2020,5.16,5.38,5.16,5.33,101430,TPB
4/6/2020,5.41,5.57,5.33,5.55,395510,TPB
4/7/2020,5.57,5.57,5.38,5.57,200320,TPB
4/8/2020,5.25,5.52,5.25,5.44,52310,TPB
4/9/2020,5.55,5.6,5.47,5.54,167930,TPB
4/10/2020,5.54,5.54,5.41,5.47,86670,TPB
4/13/2020,5.52,5.57,5.47,5.54,204450,TPB
4/14/2020,5.57,5.59,5.47,5.52,119710,TPB
4/15/2020,5.52,5.82,5.52,5.82,197400,TPB
4/16/2020,5.82,5.82,5.66,5.78,73710,TPB
4/17/2020,5.76,5.92,5.76,5.89,135520,TPB
4/20/2020,5.89,5.95,5.82,5.82,126480,TPB
4/21/2020,5.81,5.81,5.44,5.47,156100,TPB
4/22/2020,5.41,5.63,5.41,5.63,33200,TPB
4/23/2020,5.79,5.79,5.57,5.63,31680,TPB
4/24/2020,5.74,5.74,5.63,5.63,34280,TPB
4/27/2020,5.63,5.66,5.54,5.57,29160,TPB
4/28/2020,5.63,5.63,5.47,5.57,34610,TPB
4/29/2020,5.57,5.62,5.47,5.54,88040,TPB
5/4/2020,5.47,5.59,5.47,5.54,74680,TPB
5/5/2020,5.6,5.6,5.54,5.6,33750,TPB
5/6/2020,5.63,5.73,5.6,5.71,101950,TPB
5/7/2020,5.79,5.79,5.71,5.76,85730,TPB
5/8/2020,5.79,5.89,5.74,5.76,168160,TPB
5/11/2020,5.76,6.05,5.76,5.97,137630,TPB
5/12/2020,5.98,6.38,5.9,6.38,353420,TPB
5/13/2020,6.4,6.83,6.32,6.83,346820,TPB
5/14/2020,7.16,7.16,6.83,6.95,652330,TPB
5/15/2020,6.71,6.95,6.62,6.95,338510,TPB
5/18/2020,6.68,6.94,6.65,6.84,102210,TPB
5/19/2020,6.97,7.03,6.84,7,310870,TPB
5/20/2020,7,7,6.87,6.99,136380,TPB
5/21/2020,6.97,7,6.87,6.94,161530,TPB
