,time,open,high,low,close,volume,ticker
0,2017-01-03,14.83,15.62,14.83,15.52,2018750,VCB
1,2017-01-04,15.62,15.66,15.33,15.41,1339740,VCB
2,2017-01-05,15.37,15.54,15.35,15.48,855250,VCB
3,2017-01-06,15.5,16,15.46,15.79,2495910,VCB
4,2017-01-09,15.91,16.23,15.87,16.12,2379510,VCB
5,2017-01-10,16,16.1,15.98,16,1234210,VCB
6,2017-01-11,16,16.14,15.93,16.02,1498220,VCB
7,2017-01-12,16,16.04,15.75,15.79,1863070,VCB
8,2017-01-13,15.66,15.96,15.6,15.6,1164660,VCB
9,2017-01-16,15.62,15.75,15.43,15.56,641920,VCB
10,2017-01-17,15.62,16.31,15.62,16.23,2340000,VCB
11,2017-01-18,16.14,16.31,15.96,15.96,1143460,VCB
12,2017-01-19,16,16.04,15.83,15.83,521040,VCB
13,2017-01-20,15.91,16.04,15.83,15.83,908930,VCB
14,2017-01-23,15.98,15.98,15.81,15.87,717890,VCB
15,2017-01-24,15.85,16.08,15.83,16.08,899030,VCB
16,2017-01-25,16.21,16.37,16,16.37,1352580,VCB
17,2017-02-02,16.5,16.5,16.21,16.43,1368580,VCB
18,2017-02-03,16.46,16.46,16.12,16.12,1546040,VCB
19,2017-02-06,16.12,16.21,16,16.12,1288900,VCB
20,2017-02-07,16.16,16.35,16.14,16.35,1527190,VCB
21,2017-02-08,16.41,16.58,16.29,16.56,1792740,VCB
22,2017-02-09,16.6,16.62,16.46,16.54,1203520,VCB
23,2017-02-10,16.52,16.52,16.37,16.37,1754030,VCB
24,2017-02-13,16.37,16.37,16.12,16.18,1490330,VCB
25,2017-02-14,16.18,16.29,16.04,16.12,1325510,VCB
26,2017-02-15,16.18,16.37,16.08,16.25,1419820,VCB
27,2017-02-16,16.33,16.48,16.04,16.08,1359740,VCB
28,2017-02-17,16.12,16.14,15.96,15.96,1220700,VCB
29,2017-02-20,16.04,16.04,15.79,15.81,1322360,VCB
30,2017-02-21,15.83,16.02,15.81,16,1076370,VCB
31,2017-02-22,16.04,16.04,15.75,15.79,802090,VCB
32,2017-02-23,15.79,15.91,15.64,15.66,1453770,VCB
33,2017-02-24,15.75,15.77,15.54,15.6,785650,VCB
34,2017-02-27,15.5,15.98,15.5,15.91,902460,VCB
35,2017-02-28,15.91,15.91,15.58,15.58,703780,VCB
36,2017-03-01,15.58,15.66,15.5,15.5,753500,VCB
37,2017-03-02,15.66,15.71,15.37,15.37,1147120,VCB
38,2017-03-03,15.5,15.66,15.37,15.62,516470,VCB
39,2017-03-06,15.83,15.83,15.54,15.54,510190,VCB
40,2017-03-07,15.62,15.62,15.46,15.62,561990,VCB
41,2017-03-08,15.54,15.91,15.54,15.71,892080,VCB
42,2017-03-09,15.81,16,15.75,15.75,1001970,VCB
43,2017-03-10,15.79,15.91,15.56,15.62,596520,VCB
44,2017-03-13,15.46,15.58,15.43,15.43,885720,VCB
45,2017-03-14,15.43,15.58,15.43,15.43,502570,VCB
46,2017-03-15,15.52,15.52,15.39,15.39,561660,VCB
47,2017-03-16,15.41,15.52,15.39,15.46,574840,VCB
