time,open,high,low,close,volume,ticker
1/2/2024,55.45,55.92,54.98,55.85,1788420,VCB
1/3/2024,55.85,56.52,55.38,56.52,1374590,VCB
1/4/2024,56.52,57.66,56.19,57.46,2660779,VCB
1/5/2024,57.46,57.66,57.32,57.66,1181807,VCB
1/8/2024,57.73,58.06,57.73,58.06,1611721,VCB
1/9/2024,58.06,58.8,58.06,58.73,1928985,VCB
1/10/2024,58.73,59.87,58.33,59.87,1800328,VCB
1/11/2024,59.87,60.2,59.26,59.73,1491432,VCB
1/12/2024,58.93,59.87,58.46,59.33,1911967,VCB
1/15/2024,59.53,60.27,59.47,60.2,1916364,VCB
1/16/2024,59.53,60.27,59.47,60.2,1368816,VCB
1/17/2024,59.53,60.87,59.53,60.8,1581258,VCB
1/18/2024,60.8,61,60.2,60.94,1424696,VCB
1/19/2024,60.87,62.21,60.47,61.94,1477733,VCB
1/22/2024,62.54,62.54,61.54,61.54,1048242,VCB
1/23/2024,61.61,61.81,60.47,61.2,1259446,VCB
1/24/2024,61.27,61.54,60.8,60.94,746187,VCB
1/25/2024,60.94,61.27,60.67,60.87,505031,VCB
1/26/2024,61.27,61.54,61.14,61.54,953670,VCB
1/29/2024,61.41,61.54,60.8,61,732044,VCB
1/30/2024,61,61,60.27,60.87,889895,VCB
1/31/2024,60.6,60.6,59.2,59.2,947351,VCB
2/1/2024,58.86,60.33,58.86,60.07,598963,VCB
2/2/2024,59.6,60.54,59.6,60.4,734186,VCB
2/5/2024,60.33,60.6,59.8,60.2,1950335,VCB
2/6/2024,60.4,60.6,59.6,59.87,1353403,VCB
2/7/2024,60.2,60.74,59.73,60.2,1372449,VCB
2/15/2024,60.2,60.67,59.6,60.13,1047830,VCB
2/16/2024,60.13,60.33,59.87,59.93,735346,VCB
2/19/2024,60.13,60.54,59.73,60.33,1046679,VCB
2/20/2024,60.27,61.14,59.8,61.07,1405753,VCB
2/21/2024,61.34,61.34,60.54,61,1369259,VCB
2/22/2024,60.6,60.87,59.87,59.87,1224789,VCB
2/23/2024,59.87,61.14,59.47,59.47,1802815,VCB
2/26/2024,59.47,60.2,59.47,59.87,722488,VCB
2/27/2024,59.93,61,59.6,60.94,1608348,VCB
2/28/2024,60.87,65.15,60.47,65.15,4227766,VCB
2/29/2024,65.89,67.22,65.08,65.08,1902870,VCB
3/1/2024,65.69,65.69,63.48,65.08,2383117,VCB
3/4/2024,65.55,65.55,63.95,64.21,1643680,VCB
3/5/2024,64.62,64.62,63.68,63.88,1366903,VCB
3/6/2024,63.88,64.75,63.61,63.95,2072535,VCB
