Date,AGR,BID,VCB,TPB
2018-04-19,4.3,20.97,25.96,8.06
2018-04-20,4.44,21.77,27.24,8.07
2018-04-23,4.3,20.25,25.37,7.65
2018-04-24,4.24,20.97,25.54,7.65
2018-04-26,3.94,20.14,24.77,7.38
2018-04-27,3.99,19.92,25.54,7.5
2018-05-02,3.92,18.54,24.77,7.4
2018-05-03,3.65,18.6,25.37,7.4
2018-05-04,3.7,17.93,25.11,7.4
2018-05-07,3.7,19.17,26.43,7.45
2018-05-08,3.7,19.59,25.96,7.48
2018-05-09,3.66,19.31,25.32,7.45
2018-05-10,3.57,18.04,24.05,7.33
2018-05-11,3.66,18.76,24.64,7.4
2018-05-14,3.66,18.93,24.81,7.33
2018-05-15,3.66,19.09,24.98,7.4
2018-05-16,3.64,18.32,24.26,7.33
2018-05-17,3.57,18.21,24.18,7.33
2018-05-18,3.62,18.18,24.05,7.38
2018-05-21,3.57,17.38,23.71,7.34
2018-05-22,3.32,16.17,22.73,7.28
2018-05-23,3.32,16.8,23.2,7.3
2018-05-24,3.25,16.36,22.69,7.28
2018-05-25,3.18,15.28,21.28,7.2
2018-05-28,2.96,14.24,19.92,6.73
2018-05-29,3.0,15.23,21.28,7.15
2018-05-30,2.88,15.23,22.13,7.13
2018-05-31,2.97,16.14,23.03,6.96
2018-06-01,2.98,16.39,24.26,6.96
2018-06-04,3.18,16.83,25.24,7.33
2018-06-05,3.34,16.77,24.94,7.3
2018-06-06,3.36,17.55,25.15,7.18
2018-06-07,3.38,17.22,24.98,7.18
2018-06-08,3.31,17.38,25.41,7.12
2018-06-11,3.28,17.11,25.11,7.08
2018-06-12,3.2,16.33,24.69,7.01
2018-06-13,3.24,16.36,25.49,7.01
2018-06-14,3.11,15.62,24.73,6.96
2018-06-15,3.2,16.0,25.11,6.91
2018-06-18,3.25,15.06,24.05,6.71
2018-06-19,3.04,14.79,24.05,6.73
2018-06-20,3.19,15.45,24.73,6.81
2018-06-21,3.2,14.79,24.26,6.81
2018-06-22,3.2,15.17,24.98,6.83
2018-06-25,3.23,15.56,25.28,6.91
2018-06-26,3.2,15.34,25.24,6.91
2018-06-27,3.19,14.79,24.69,6.87
2018-06-28,3.16,14.29,24.64,6.71
2018-06-29,3.16,14.35,24.69,6.83
2018-07-02,3.11,13.66,24.73,6.71
2018-07-03,2.9,12.72,23.83,6.48
2018-07-04,3.0,12.64,23.66,6.32
2018-07-05,2.9,11.92,22.13,6.29
2018-07-06,3.0,12.75,23.41,6.63
2018-07-09,3.0,12.86,22.98,6.71
2018-07-10,3.01,13.05,22.6,6.76
2018-07-11,2.93,12.19,21.79,6.66
2018-07-12,2.88,12.69,22.3,6.65
2018-07-13,2.91,12.97,23.32,6.73
2018-07-16,3.11,13.33,23.37,6.71
2018-07-17,3.16,13.74,23.75,6.66
2018-07-18,3.29,14.43,24.47,6.71
2018-07-19,3.28,14.24,24.18,6.68
2018-07-20,3.29,14.02,24.18,6.68
2018-07-23,3.06,13.68,24.09,6.67
2018-07-24,3.24,13.68,24.26,6.63
2018-07-25,3.46,13.02,23.54,6.56
2018-07-26,3.49,13.3,24.13,6.58
2018-07-27,3.5,13.68,24.05,6.61
2018-07-30,3.61,14.51,24.39,6.36
2018-07-31,3.55,14.51,24.9,6.33
2018-08-01,3.48,14.51,24.94,6.21
2018-08-02,3.42,14.46,25.11,6.14
2018-08-03,3.46,14.65,24.9,6.12
2018-08-06,3.57,14.82,25.11,5.94
2018-08-07,3.49,15.15,26.18,5.97
2018-08-08,3.52,16.11,26.43,6.06
2018-08-09,3.64,15.92,26.09,6.31
2018-08-10,3.64,16.5,27.03,6.35
2018-08-13,3.63,16.83,27.15,6.46
2018-08-14,3.59,16.55,26.73,6.46
2018-08-15,3.47,16.17,25.79,6.4
2018-08-16,3.46,16.55,25.79,6.47
2018-08-17,3.48,17.16,26.39,6.52
2018-08-20,3.42,17.33,26.13,6.46
2018-08-21,3.48,18.21,26.69,6.52
2018-08-22,3.44,17.93,26.35,6.55
2018-08-23,3.41,18.24,26.64,6.58
2018-08-24,3.41,18.43,26.39,6.6
2018-08-27,3.38,18.76,26.86,6.63
2018-08-28,3.39,18.6,27.24,6.68
2018-08-29,3.38,18.57,26.86,6.72
2018-08-30,3.41,19.26,27.15,6.72
2018-08-31,3.41,18.98,26.6,6.68
2018-09-04,3.38,17.93,25.96,6.66
2018-09-05,3.32,18.26,25.79,6.58
2018-09-06,3.3,18.07,25.66,6.12
2018-09-07,3.26,18.71,26.39,6.55
2018-09-10,3.29,18.76,26.39,6.55
2018-09-11,3.31,19.48,26.81,6.48
2018-09-12,3.32,19.17,26.64,6.48
2018-09-13,3.35,19.31,26.77,6.51
2018-09-14,3.29,19.23,27.24,6.51
2018-09-17,3.27,18.87,26.77,6.48
2018-09-18,3.27,19.45,26.94,6.48
2018-09-19,3.27,19.48,26.94,6.51
2018-09-20,3.28,19.59,27.41,6.52
2018-09-21,3.48,19.48,27.5,6.52
2018-09-24,3.52,19.26,27.75,6.52
2018-09-25,3.59,19.31,27.41,6.45
2018-09-26,3.52,19.26,27.15,6.46
2018-09-27,3.51,19.12,26.98,6.46
2018-09-28,3.62,19.42,26.81,6.51
2018-10-01,3.66,19.17,26.6,6.51
2018-10-02,3.61,19.97,26.81,6.5
2018-10-03,3.57,20.22,26.81,6.53
2018-10-04,3.52,20.28,26.81,6.71
2018-10-05,3.48,19.59,26.77,6.71
2018-10-08,3.44,19.86,26.56,6.62
2018-10-09,3.39,19.92,26.6,6.63
2018-10-10,3.38,19.51,26.6,6.63
2018-10-11,3.16,18.15,24.87,6.19
2018-10-12,3.2,18.65,25.82,6.25
2018-10-15,3.24,17.99,25.48,5.96
2018-10-16,3.32,18.48,25.52,6.0
2018-10-17,3.34,19.09,25.52,6.09
2018-10-18,3.28,19.09,25.0,6.07
2018-10-19,3.25,19.09,24.87,6.07
2018-10-22,3.25,19.31,24.62,6.11
2018-10-23,3.15,19.26,24.06,6.06
2018-10-24,3.1,17.99,23.93,6.1
2018-10-25,3.01,17.22,23.62,6.09
2018-10-26,3.0,16.88,23.06,6.17
2018-10-29,3.0,15.95,22.8,6.17
2018-10-30,2.99,15.23,23.37,6.21
2018-10-31,3.05,16.28,23.97,6.42
2018-11-01,3.02,16.75,23.71,6.4
2018-11-02,3.08,17.91,24.23,5.96
2018-11-05,3.02,18.1,24.36,6.15
2018-11-06,3.06,17.66,24.06,6.15
2018-11-07,3.06,17.91,23.93,6.21
2018-11-08,3.05,17.91,24.01,6.29
2018-11-09,3.06,17.49,23.41,6.24
2018-11-12,3.05,17.77,23.54,6.35
2018-11-13,3.02,17.11,23.11,6.32
2018-11-14,3.01,16.55,22.93,6.33
2018-11-15,2.95,17.11,23.02,6.35
2018-11-16,2.98,17.77,22.93,6.45
2018-11-19,2.98,17.77,23.28,6.51
2018-11-20,2.98,17.49,23.19,6.51
2018-11-21,3.0,17.66,23.88,6.68
2018-11-22,2.97,17.57,23.62,6.98
2018-11-23,3.0,17.49,23.28,6.83
2018-11-26,3.02,17.46,23.28,6.57
2018-11-27,3.02,17.35,23.02,6.43
2018-11-28,3.04,17.41,23.75,6.31
2018-11-29,3.05,17.24,23.71,6.31
2018-11-30,3.06,17.33,23.88,6.25
2018-12-03,3.11,18.51,25.0,6.57
2018-12-04,3.11,18.43,24.83,6.46
2018-12-05,3.13,18.68,24.92,6.56
2018-12-06,3.1,18.6,24.53,6.58
2018-12-07,3.15,18.6,24.66,6.99
2018-12-10,3.14,18.6,24.53,6.84
2018-12-11,3.12,18.51,24.49,6.73
2018-12-12,3.12,19.12,25.0,6.76
2018-12-13,3.1,18.93,24.83,6.76
2018-12-14,3.06,18.71,24.36,6.73
2018-12-17,3.06,18.32,23.62,6.6
2018-12-18,3.0,18.57,23.75,6.4
2018-12-19,3.0,18.37,23.45,6.36
2018-12-20,3.05,18.73,23.54,6.46
2018-12-21,3.02,18.76,23.49,6.4
2018-12-24,2.95,18.76,22.89,6.38
