,time,open,high,low,close,volume
0,2017-08-17,8.08,8.08,6.84,8.08,58299310
1,2017-08-18,7.87,7.98,7.71,7.71,1092840
2,2017-08-21,7.42,7.62,7.36,7.43,798670
3,2017-08-22,7.21,7.46,7.21,7.46,2295930
4,2017-08-23,7.46,7.62,7.41,7.5,520790
5,2017-08-24,7.53,7.53,7.42,7.51,678690
6,2017-08-25,7.44,7.52,7.42,7.52,615370
7,2017-08-28,7.46,7.52,7.44,7.52,761670
8,2017-08-29,7.48,7.52,7.45,7.52,990000
9,2017-08-30,7.52,7.52,7.46,7.52,830100
10,2017-08-31,7.48,7.52,7.48,7.52,1196380
11,2017-09-01,7.48,7.52,7.48,7.52,978060
12,2017-09-05,7.47,7.54,7.47,7.54,1274130
13,2017-09-06,7.54,7.91,7.52,7.9,1269010
14,2017-09-07,7.91,8.14,7.91,7.99,900290
15,2017-09-08,7.98,7.98,7.9,7.91,339640
16,2017-09-11,7.87,7.89,7.65,7.67,655570
17,2017-09-12,7.67,7.77,7.54,7.74,330150
18,2017-09-13,7.74,7.79,7.69,7.77,312470
19,2017-09-14,7.77,7.79,7.73,7.76,268880
20,2017-09-15,7.76,7.79,7.74,7.75,352480
21,2017-09-18,7.75,7.77,7.72,7.73,323580
22,2017-09-19,7.73,7.73,7.65,7.66,820020
23,2017-09-20,7.66,7.73,7.63,7.65,789670
24,2017-09-21,7.65,7.66,7.61,7.65,535570
25,2017-09-22,7.65,7.65,7.56,7.6,1288830
26,2017-09-25,7.6,7.63,7.59,7.59,504360
27,2017-09-26,7.65,7.65,7.58,7.58,718370
28,2017-09-27,7.58,7.76,7.58,7.72,1473820
29,2017-09-28,7.73,7.83,7.71,7.72,1238590
30,2017-09-29,7.72,7.82,7.72,7.77,752340
31,2017-10-02,7.77,7.79,7.67,7.72,634350
32,2017-10-03,7.71,7.73,7.61,7.65,659660
33,2017-10-04,7.65,7.67,7.61,7.65,457470
34,2017-10-05,7.69,7.7,7.63,7.63,219990
35,2017-10-06,7.68,7.71,7.62,7.71,409110
36,2017-10-09,7.79,7.79,7.72,7.76,936770
37,2017-10-10,7.76,7.91,7.74,7.87,869010
38,2017-10-11,7.91,8.18,7.9,8.18,3495690
39,2017-10-12,8.19,8.45,8.14,8.3,2362040
40,2017-10-13,8.27,8.5,8.27,8.33,1322500
41,2017-10-16,8.33,8.54,8.33,8.43,2217910
42,2017-10-17,8.43,8.6,8.43,8.54,1689100
43,2017-10-18,8.7,8.72,8.56,8.56,2362080
44,2017-10-19,8.54,8.64,8.45,8.52,1057180
45,2017-10-20,8.52,8.62,8.52,8.56,1480860
46,2017-10-23,8.56,8.68,8.43,8.45,1498490
47,2017-10-24,8.48,8.48,8.38,8.43,826280
48,2017-10-25,8.43,8.53,8.35,8.49,1275530
49,2017-10-26,8.49,8.56,8.39,8.43,757830
50,2017-10-27,8.41,8.49,8.4,8.46,738890
51,2017-10-30,8.46,8.66,8.46,8.52,1960480
52,2017-10-31,8.52,8.56,8.41,8.42,1027260
53,2017-11-01,8.41,8.47,8.32,8.35,994020
54,2017-11-02,8.33,8.41,7.79,7.81,2450520
55,2017-11-03,7.83,8.33,7.83,8.33,1257280
56,2017-11-06,8.33,8.33,8.18,8.27,490420
57,2017-11-07,8.25,8.25,8.16,8.18,579800
58,2017-11-08,8.18,8.35,8.11,8.33,826220
59,2017-11-09,8.35,8.35,8.18,8.23,537590
60,2017-11-10,8.21,8.23,8.18,8.19,503430
61,2017-11-13,8.2,8.2,8.0,8.02,734400
62,2017-11-14,8.02,8.16,8.02,8.09,777620
63,2017-11-15,8.13,8.17,8.04,8.14,775820
64,2017-11-16,8.14,8.37,8.09,8.18,916660
65,2017-11-17,8.25,8.29,8.17,8.18,561660
66,2017-11-20,8.2,8.2,8.09,8.1,629260
67,2017-11-21,8.08,8.15,8.03,8.07,1003180
68,2017-11-22,8.08,8.33,8.06,8.2,1542070
69,2017-11-23,8.29,8.47,8.1,8.29,1865520
70,2017-11-24,8.34,8.41,8.23,8.29,939760
71,2017-11-27,8.29,8.29,8.24,8.25,865430
72,2017-11-28,8.25,8.36,8.23,8.25,1532570
73,2017-11-29,8.25,8.38,8.25,8.31,1922690
74,2017-11-30,8.37,8.55,8.35,8.53,4526350
75,2017-12-01,8.62,8.62,8.52,8.53,3263090
76,2017-12-04,8.54,8.76,8.54,8.6,2860030
77,2017-12-05,8.64,8.69,8.43,8.5,3035500
78,2017-12-06,8.5,8.52,8.31,8.39,1964010
79,2017-12-07,8.39,8.41,8.2,8.2,1743680
80,2017-12-08,8.2,8.29,8.16,8.18,1251580
81,2017-12-11,8.08,8.17,7.99,7.99,1320400
82,2017-12-12,8.04,8.18,7.46,8.02,2982180
83,2017-12-13,8.02,8.03,7.85,7.85,1148350
84,2017-12-14,7.87,8.0,7.87,7.96,714430
85,2017-12-15,7.96,8.05,7.91,7.91,738630
86,2017-12-18,7.98,8.14,7.96,8.08,1219150
87,2017-12-19,8.17,8.17,7.98,8.12,1250790
88,2017-12-20,8.12,8.39,8.12,8.36,1292990
89,2017-12-21,8.37,8.47,8.36,8.38,1587340
90,2017-12-22,8.35,8.37,8.26,8.37,863870
91,2017-12-25,8.37,8.37,8.25,8.27,885840
92,2017-12-26,8.29,8.31,8.23,8.25,702040
93,2017-12-27,8.29,8.35,8.27,8.27,1096400
94,2017-12-28,8.33,8.45,8.33,8.39,1336360
95,2017-12-29,8.45,8.56,8.41,8.49,2133440
96,2018-01-02,8.5,9.09,8.5,8.97,6973030
97,2018-01-03,9.1,9.2,8.95,8.98,2393590
98,2018-01-04,8.99,9.32,8.98,9.3,3127720
99,2018-01-05,9.3,9.3,9.01,9.2,2611280
100,2018-01-08,9.2,9.63,9.12,9.62,2758530
101,2018-01-09,9.74,9.93,9.32,9.92,4813410
102,2018-01-10,9.96,10.06,9.82,9.94,4193390
103,2018-01-11,9.81,10.1,9.79,10.1,2838750
104,2018-01-12,10.15,10.15,9.7,9.76,6034390
105,2018-01-15,9.78,10.03,9.72,9.94,2849090
106,2018-01-16,9.9,9.93,9.65,9.84,4223700
107,2018-01-17,9.87,10.01,9.71,9.74,2524920
108,2018-01-18,9.7,9.94,9.63,9.94,3113930
109,2018-01-19,9.94,10.38,9.94,9.99,8250800
110,2018-01-22,9.99,10.28,9.99,10.2,3111950
111,2018-01-23,10.2,10.2,10.2,10.2,0
112,2018-01-24,10.2,10.2,10.2,10.2,0
113,2018-01-25,10.36,10.9,10.28,10.86,11483030
114,2018-01-26,10.88,11.06,10.73,10.77,5418010
115,2018-01-29,10.9,11.19,10.75,10.79,5001720
116,2018-01-30,10.69,10.96,10.53,10.96,5259520
117,2018-01-31,10.98,11.21,10.96,11.04,3541550
118,2018-02-01,11.08,11.08,10.73,10.82,2796590
119,2018-02-02,10.84,11.23,10.73,11.23,2864340
120,2018-02-05,11.11,11.21,10.53,10.67,4065630
121,2018-02-06,9.92,10.67,9.92,10.23,8073980
122,2018-02-07,10.77,10.94,10.65,10.86,5853500
123,2018-02-08,10.79,10.9,10.67,10.77,2316740
124,2018-02-09,10.15,10.96,10.15,10.88,3999330
125,2018-02-12,11.04,11.44,10.98,11.44,6359690
126,2018-02-13,11.79,11.79,11.5,11.71,2396320
127,2018-02-21,11.91,12.24,11.85,12.1,3471230
128,2018-02-22,12.02,12.16,11.71,11.83,4165830
129,2018-02-23,11.89,12.12,11.77,12.12,3038950
130,2018-02-26,12.22,12.29,11.98,12.0,4344350
131,2018-02-27,12.1,12.27,11.98,12.2,3264320
132,2018-02-28,12.2,12.51,12.1,12.35,3332900
133,2018-03-01,12.22,12.41,12.14,12.27,2350810
134,2018-03-02,12.12,12.85,12.08,12.82,5712090
135,2018-03-05,12.95,13.07,12.12,12.12,3519210
136,2018-03-06,12.45,12.8,12.29,12.8,4033390
137,2018-03-07,13.14,13.16,12.62,12.85,5083980
138,2018-03-08,12.95,13.49,12.85,13.49,5430240
139,2018-03-09,13.67,13.67,13.05,13.24,8620060
140,2018-03-12,13.24,13.26,12.8,13.03,7522580
141,2018-03-13,13.01,13.3,12.76,13.3,4148500
142,2018-03-14,13.36,13.49,13.16,13.36,2886240
143,2018-03-15,13.24,13.36,13.09,13.22,2941630
144,2018-03-16,13.24,13.45,13.05,13.32,4345170
145,2018-03-19,13.45,13.53,13.11,13.14,3301910
146,2018-03-20,13.2,13.74,13.18,13.55,6771930
147,2018-03-21,13.67,13.78,13.43,13.47,2369060
148,2018-03-22,13.51,13.67,13.28,13.51,3224470
149,2018-03-23,13.09,13.36,13.07,13.2,4098250
150,2018-03-26,13.11,13.45,13.11,13.32,2977790
151,2018-03-27,13.47,13.67,13.38,13.45,3533080
152,2018-03-28,13.28,13.49,13.28,13.45,1854780
153,2018-03-29,13.45,13.65,13.45,13.51,3422420
154,2018-03-30,13.51,13.55,13.34,13.36,2056050
155,2018-04-02,13.36,14.15,13.32,14.09,9876900
156,2018-04-03,14.09,14.28,14.03,14.15,3048890
157,2018-04-04,14.19,14.3,14.05,14.11,2027300
158,2018-04-05,14.13,14.13,13.84,13.99,3758200
159,2018-04-06,14.01,14.17,13.94,14.11,3503680
160,2018-04-09,14.09,14.44,14.05,14.36,3604100
161,2018-04-10,14.4,14.5,14.01,14.15,3293590
162,2018-04-11,14.15,14.23,13.57,13.69,4707690
163,2018-04-12,13.67,13.78,13.49,13.76,2562940
164,2018-04-13,13.84,13.88,13.28,13.28,3338190
165,2018-04-16,13.28,13.53,13.03,13.24,3097620
166,2018-04-17,13.3,13.49,13.22,13.49,1811450
167,2018-04-18,13.59,13.59,13.22,13.22,1759730
168,2018-04-19,13.18,13.2,12.6,12.6,3691140
169,2018-04-20,12.6,12.7,12.22,12.68,3532830
170,2018-04-23,12.8,12.8,11.81,11.81,9490180
171,2018-04-24,11.4,12.0,11.11,11.81,3846780
172,2018-04-26,11.77,11.83,11.0,11.0,3415920
173,2018-04-27,10.69,11.37,10.3,11.08,4397700
174,2018-05-02,11.08,11.35,10.5,10.63,2956000
175,2018-05-03,10.46,10.77,10.07,10.71,3797020
176,2018-05-04,10.88,11.08,10.75,10.86,2703750
177,2018-05-07,10.98,11.58,10.92,11.58,1886800
178,2018-05-08,11.54,11.6,11.29,11.29,2499960
179,2018-05-09,11.21,11.44,11.0,11.0,1573720
180,2018-05-10,11.0,11.13,10.36,10.36,2582650
181,2018-05-11,10.28,10.77,10.13,10.71,2736580
182,2018-05-14,10.84,10.84,9.97,10.34,8485080
183,2018-05-15,10.36,10.57,10.15,10.4,3185030
184,2018-05-16,10.32,10.42,10.01,10.01,2225270
185,2018-05-17,10.01,10.01,9.33,9.49,5122380
186,2018-05-18,9.63,9.94,9.32,9.64,2496340
187,2018-05-21,9.8,9.97,9.63,9.74,1969320
188,2018-05-22,9.74,9.74,9.12,9.32,2653000
189,2018-05-23,9.32,9.43,8.95,9.34,2602270
190,2018-05-24,9.43,9.43,9.04,9.14,1839710
191,2018-05-25,9.12,9.16,8.6,8.64,2905170
192,2018-05-28,8.49,8.54,8.04,8.04,2699850
193,2018-05-29,7.89,8.6,7.71,8.6,7706980
194,2018-05-30,8.7,9.2,8.6,8.95,4842490
195,2018-05-31,8.87,9.36,8.85,9.32,2336730
196,2018-06-01,9.22,9.68,9.14,9.53,3775220
197,2018-06-04,9.61,10.19,9.61,10.19,3890390
198,2018-06-05,10.48,10.71,10.15,10.23,4577940
199,2018-06-06,10.23,10.34,10.05,10.25,2043840
200,2018-06-07,10.28,10.28,10.04,10.26,2097860
201,2018-06-08,10.15,10.73,10.15,10.73,4085220
202,2018-06-11,10.75,11.29,10.67,11.02,2938320
203,2018-06-12,10.98,10.98,10.32,10.88,4461970
204,2018-06-13,10.69,11.02,10.69,10.86,2470970
205,2018-06-14,10.82,10.84,10.36,10.36,2544990
206,2018-06-15,10.36,10.48,10.21,10.26,3677520
207,2018-06-18,10.83,10.86,10.02,10.16,3203730
208,2018-06-19,9.72,9.76,9.45,9.76,3364270
209,2018-06-20,10.06,10.43,9.82,10.43,5608390
210,2018-06-21,10.53,10.74,10.36,10.39,2747630
211,2018-06-22,10.29,11.03,10.26,11.03,4253630
212,2018-06-25,11.06,11.3,10.85,10.91,5058520
213,2018-06-26,10.73,10.91,10.59,10.73,2686070
214,2018-06-27,10.73,10.86,10.19,10.26,3830270
215,2018-06-28,9.96,10.28,9.79,9.89,5375390
216,2018-06-29,9.89,10.06,9.59,9.62,3866630
217,2018-07-02,9.39,9.59,9.05,9.29,3973170
218,2018-07-03,9.29,9.49,8.65,8.65,3386480
219,2018-07-04,8.65,8.85,8.31,8.85,2083270
220,2018-07-05,8.85,8.98,8.33,8.45,1986990
221,2018-07-06,8.45,9.04,8.21,9.04,3989800
222,2018-07-09,9.22,9.42,9.05,9.09,2109480
223,2018-07-10,9.22,9.44,9.12,9.32,2249930
224,2018-07-11,9.05,9.09,8.68,8.68,5335090
225,2018-07-12,8.68,9.09,8.55,8.83,2045530
226,2018-07-13,8.95,9.22,8.95,9.19,2559840
227,2018-07-16,9.22,9.37,9.1,9.25,2442170
228,2018-07-17,9.25,9.89,9.17,9.87,8723790
229,2018-07-18,9.94,10.23,9.94,10.07,6095550
230,2018-07-19,10.07,10.19,9.96,9.96,5423550
231,2018-07-20,9.86,9.96,9.32,9.89,12854030
232,2018-07-23,9.59,9.69,9.22,9.22,8452860
233,2018-07-24,9.19,9.29,8.85,8.98,3680700
234,2018-07-25,9.05,9.2,8.82,8.82,3223360
235,2018-07-26,8.95,8.95,8.65,8.78,2635240
236,2018-07-27,8.78,8.98,8.45,8.85,6420200
