time,open,high,low,close,volume,ticker,day,month,year,profit
2021-01-04,8.05,8.29,7.94,8.12,3317500,AGR,4,1,2021,232224.99999999505
2021-01-05,8.12,8.69,8.06,8.69,5703100,AGR,5,1,2021,3250767.0000000014
2021-01-06,9.13,9.28,9.07,9.28,2891500,AGR,6,1,2021,433724.99999999587
2021-01-07,9.56,9.92,9.51,9.92,3640500,AGR,7,1,2021,1310579.999999998
2021-01-08,10.38,10.61,9.97,10.56,5266000,AGR,8,1,2021,947879.9999999985
2021-01-11,10.56,11.21,10.15,10.52,3347300,AGR,11,1,2021,-133892.00000000309
2021-01-12,10.34,10.52,9.83,10.29,2910700,AGR,12,1,2021,-145535.00000000207
2021-01-13,10.38,10.38,10.06,10.11,2640700,AGR,13,1,2021,-712989.0000000036
2021-01-14,10.06,10.79,9.7,10.79,3449800,AGR,14,1,2021,2518353.9999999953
2021-01-15,11.43,11.53,11.16,11.53,2858000,AGR,15,1,2021,285799.999999999
2021-01-18,11.98,12.3,11.8,12.3,2821600,AGR,18,1,2021,902912.0000000008
2021-01-19,12.49,12.71,11.48,11.48,3076300,AGR,19,1,2021,-3107062.9999999995
2021-01-20,10.7,11.25,10.7,10.7,5006200,AGR,20,1,2021,0.0
2021-01-21,10.7,11.43,10.34,11.43,2863400,AGR,21,1,2021,2090282.0000000012
2021-01-22,11.71,12.07,11.3,11.3,2191000,AGR,22,1,2021,-898310.0000000003
2021-01-25,10.79,11.43,10.7,10.98,2554900,AGR,25,1,2021,485431.00000000326
2021-01-26,10.52,10.7,10.24,10.29,1781600,AGR,26,1,2021,-409768.00000000076
2021-01-27,9.83,9.83,9.6,9.6,1956000,AGR,27,1,2021,-449880.0000000008
2021-01-28,8.94,8.94,8.94,8.94,389500,AGR,28,1,2021,0.0
2021-01-29,8.31,9.51,8.31,9.03,2654300,AGR,29,1,2021,1911095.999999997
2021-02-01,8.69,9.06,8.4,8.4,1587700,AGR,1,2,2021,-460432.99999999866
2021-02-02,7.82,8.42,7.81,8.23,1665600,AGR,2,2,2021,682896.0000000002
2021-02-03,8.42,8.81,8.23,8.81,1112400,AGR,3,2,2021,433836.00000000064
2021-02-04,9.33,9.42,8.96,9.42,1850700,AGR,4,2,2021,166562.99999999974
2021-02-05,9.74,10.06,9.42,10.06,1652800,AGR,5,2,2021,528896.0000000005
2021-02-08,10.52,10.75,9.6,10.52,3584100,AGR,8,2,2021,0.0
2021-02-09,10.43,10.79,10.15,10.66,1587800,AGR,9,2,2021,365194.0000000007
2021-02-17,10.66,10.93,10.52,10.89,1981200,AGR,17,2,2021,455676.0000000009
2021-02-18,10.89,10.89,10.43,10.52,1663100,AGR,18,2,2021,-615347.0000000016
2021-02-19,10.24,10.7,10.24,10.38,1339900,AGR,19,2,2021,187586.00000000076
2021-02-22,10.52,10.61,10.2,10.43,1286500,AGR,22,2,2021,-115784.99999999981
2021-02-23,10.38,10.52,10.24,10.38,1357700,AGR,23,2,2021,0.0
2021-02-24,10.52,10.89,10.24,10.38,1472500,AGR,24,2,2021,-206149.99999999822
2021-02-25,10.52,10.52,10.24,10.38,765400,AGR,25,2,2021,-107155.99999999907
2021-02-26,10.34,10.38,10.06,10.34,913300,AGR,26,2,2021,0.0
