code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2022-06-17,14:44:54,HOSE,STOCK,39.05,41.75,36.35,37.0,38.0,36.35,36.35,36.55040218,37.0,38.0,36.35,36.35,36.55040218,13824800.0,505302000000.0,0.0,0.0,-2.7,-2.7,-6.9142
DIG,2022-06-16,15:06:04,HOSE,STOCK,41.95,44.85,39.05,43.0,43.95,39.05,39.05,41.8,43.0,43.95,39.05,39.05,41.8,9400600.0,392980015000.0,0.0,0.0,-2.9,-2.9,-6.913
DIG,2022-06-15,15:06:05,HOSE,STOCK,45.1,48.25,41.95,45.1,46.45,41.95,41.95,42.6,45.1,46.45,41.95,41.95,42.6,11625500.0,495203895000.0,0.0,0.0,-3.15,-3.15,-6.9845
DIG,2022-06-14,15:06:04,HOSE,STOCK,48.4,51.7,45.05,47.0,49.5,45.1,45.1,47.4,47.0,49.5,45.1,45.1,47.4,6744800.0,319707840000.0,0.0,0.0,-3.3,-3.3,-6.8182
DIG,2022-06-13,15:06:04,HOSE,STOCK,52.0,55.6,48.4,49.9,50.9,48.4,48.4,49.16,49.9,50.9,48.4,48.4,49.16,8268800.0,406478440000.0,0.0,0.0,-3.6,-3.6,-6.9231
DIG,2022-06-10,15:06:03,HOSE,STOCK,54.5,58.3,50.7,53.5,54.4,52.0,52.0,53.15,53.5,54.4,52.0,52.0,53.15,5341900.0,283922550000.0,60000.0,3360000000.0,-2.5,-2.5,-4.5872
DIG,2022-06-09,15:06:02,HOSE,STOCK,55.0,58.8,51.2,55.2,56.5,54.5,54.5,55.34,55.2,56.5,54.5,54.5,55.34,3018900.0,167063060000.0,0.0,0.0,-0.5,-0.5,-0.9091
DIG,2022-06-08,15:06:04,HOSE,STOCK,52.9,56.6,49.2,53.5,56.6,53.3,55.0,54.87,53.5,56.6,53.3,55.0,54.87,5147800.0,282458610000.0,0.0,0.0,2.1,2.1,3.9698
DIG,2022-06-07,15:06:03,HOSE,STOCK,53.2,56.9,49.5,53.0,53.0,49.8,52.9,51.5,53.0,53.0,49.8,52.9,51.5,8167800.0,420624310000.0,60000.0,3402000000.0,-0.3,-0.3,-0.5639
DIG,2022-06-06,15:06:03,HOSE,STOCK,57.2,61.2,53.2,57.9,57.9,53.2,53.2,55.4,57.9,57.9,53.2,53.2,55.4,6583300.0,364712830000.0,0.0,0.0,-4.0,-4.0,-6.993
